ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,odds_on,odds_off,std_dev_ons,mean_ons,std_dev_offs,mean_offs
103,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,South Street,place-sougr,0,1454,77,0,19,34,0.0,0.0001533606153796,0.0,0.0,13.45362404707371,34.0
104,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Science Park,place-spmnl,74909,76928,77,973,999,1056,0.0078536778297051,0.0080635397244351,348.1436485130815,571.0,394.62175983254315,543.3333333333334
105,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Sutherland Road,place-sthld,338,1478,77,4,19,125,3.228644534308384e-05,0.0001533606153796,4.58257569495584,9.0,23.811761799581316,46.0
106,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Saint Paul Street,place-stplb,1228,5141,77,16,67,678,0.0001291457813723,0.0005407979594966,8.962886439832502,26.333333333333332,33.291640592396966,105.33333333333333
107,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Saint Paul Street,place-stpul,423,1988,77,5,26,330,4.03580566788548e-05,0.00020986189473,7.234178138070235,13.333333333333334,26.664583251946766,56.0
108,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Summit Ave.,place-sumav,599,3698,77,8,48,161,6.457289068616767e-05,0.000387437344117,16.802777548171413,26.333333333333332,15.56705923844749,62.666666666666664
109,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Symphony,place-symcl,4761,23771,77,62,309,842,0.0005004399028177,0.0024941279027532,12.767145334803704,76.0,58.286647985051715,363.6666666666667
110,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Tappan Street,place-tapst,219,2197,77,3,29,75,2.421483400731288e-05,0.0002340767287373,2.0,5.0,22.143471573656498,44.666666666666664
111,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Waban,place-waban,186,1226,77,2,16,185,1.614322267154192e-05,0.0001291457813723,3.214550253664318,4.333333333333333,22.744962812309307,41.333333333333336
112,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Washington Street,place-wascm,1080,4977,77,14,65,139,0.0001130025587007,0.0005246547368251,14.52583904633395,29.0,50.520622851795224,105.33333333333333
