ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow
87,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Washington Square,place-bcnwa,451,7361,77,6,96,293
88,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Blandford Street,place-bland,4158,4871,77,54,63,1448
89,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Brandon Hall,place-bndhl,129,3236,77,2,42,450
90,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Boylston,place-boyls,85739,48170,77,1113,626,7944
91,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Packards Corner,place-brico,3025,12287,77,39,160,1098
92,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Brookline Hills,place-brkhl,992,6954,77,13,90,1168
93,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Brigham Circle,place-brmnl,1209,10274,77,16,133,402
94,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Boston Univ. Central,place-bucen,4027,5121,77,52,67,1443
95,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Boston Univ. East,place-buest,4015,3358,77,52,44,1457
96,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Boston Univ. West,place-buwst,2162,3190,77,28,41,1429
97,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Brookline Village,place-bvmnl,2700,15112,77,35,196,1245
98,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Chestnut Hill,place-chhil,1036,5206,77,13,68,778
99,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Chestnut Hill Ave.,place-chill,251,3432,77,3,45,62
100,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Chiswick Road,place-chswk,165,6445,77,2,84,104
101,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Cleveland Circle,place-clmnl,0,3286,77,0,43,0
102,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Saint Mary Street,place-smary,2191,9535,77,28,124,386
103,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,South Street,place-sougr,0,1454,77,0,19,34
104,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Science Park,place-spmnl,74909,76928,77,973,999,1056
105,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Sutherland Road,place-sthld,338,1478,77,4,19,125
106,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Saint Paul Street,place-stplb,1228,5141,77,16,67,678
107,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Saint Paul Street,place-stpul,423,1988,77,5,26,330
108,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Summit Ave.,place-sumav,599,3698,77,8,48,161
109,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Symphony,place-symcl,4761,23771,77,62,309,842
110,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Tappan Street,place-tapst,219,2197,77,3,29,75
111,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Waban,place-waban,186,1226,77,2,16,185
112,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Washington Street,place-wascm,1080,4977,77,14,65,139
113,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Woodland,place-woodl,15,3617,77,0,47,139
114,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Warren Street,place-wrnst,932,4978,77,12,65,190
115,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Allston Street,place-alsgr,706,4528,77,9,59,263
116,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Arlington,place-armnl,32255,49456,77,419,642,4451
117,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Babcock Street,place-babck,1187,7062,77,15,92,592
118,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Back of the Hill,place-bckhl,0,1381,77,0,18,37
119,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Beaconsfield,place-bcnfd,587,4113,77,8,53,541
120,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Washington Square,place-bcnwa,290,3313,77,4,43,124
121,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Blandford Street,place-bland,4361,2948,77,57,38,702
122,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Brandon Hall,place-bndhl,83,1116,77,1,14,188
123,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Boylston,place-boyls,48796,29388,77,634,382,4674
124,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Packards Corner,place-brico,2389,6592,77,31,86,538
125,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Brookline Hills,place-brkhl,1899,3583,77,25,47,587
126,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Brigham Circle,place-brmnl,714,7327,77,9,95,213
127,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Boston Univ. Central,place-bucen,4660,3822,77,61,50,738
128,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Boston Univ. East,place-buest,4654,2655,77,60,34,728
129,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Boston Univ. West,place-buwst,1580,2491,77,21,32,727
130,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Brookline Village,place-bvmnl,3356,8454,77,44,110,609
131,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Chestnut Hill,place-chhil,714,3865,77,9,50,408
132,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Chestnut Hill Ave.,place-chill,82,2373,77,1,31,35
133,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Chiswick Road,place-chswk,61,2959,77,1,38,65
134,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Cleveland Circle,place-clmnl,0,1466,77,0,19,0
135,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Copley,place-coecl,53376,91200,77,693,1184,2429
136,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Coolidge Corner,place-cool,4041,11896,77,52,154,240
137,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Dean Road,place-denrd,21,1787,77,0,23,67
138,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Eliot,place-eliot,112,1957,77,1,25,270
139,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Englewood Ave.,place-engav,2,3715,77,0,48,19
140,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Fairbanks Street,place-fbkst,134,2013,77,2,26,163
141,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Fenwood Road,place-fenwd,307,3685,77,4,48,169
142,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Fenway,place-fenwy,4243,5959,77,55,77,666
143,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Government Center,place-gover,139594,27389,77,1813,356,3379
144,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Griggs Street,place-grigg,724,5659,77,9,73,313
145,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Haymarket,place-haecl,56319,12021,77,731,156,1922
146,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Harvard Ave.,place-harvd,3585,15999,77,47,208,377
147,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Heath Street,place-hsmnl,0,2837,77,0,37,0
148,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Hawes Street,place-hwsst,529,1518,77,7,20,367
149,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Hynes Convention Center,place-hymnl,29398,56794,77,382,738,2522
150,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Kenmore,place-kencl,20934,77237,77,272,1003,597
151,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Hynes Convention Center,place-hymnl,2070,9704,77,27,126,586
152,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Kenmore,place-kencl,3326,21735,77,43,282,116
153,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Kent Street,place-kntst,13,222,77,0,3,44
